"";"region";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"183";"Schleswig-Holstein";"60";"79";"Germany";"2020/11/27";"2020";"48";2;0;0;2;"Germany";"AgeGender"
"184";"Schleswig-Holstein";"80";NA;"Germany";"2020/11/27";"2020";"48";2;0;0;2;"Germany";"AgeGender"
"185";"Schleswig-Holstein";"35";"59";"Germany";"2020/11/27";"2020";"48";0;0;0;0;"Germany";"AgeGender"
"186";"Schleswig-Holstein";"15";"34";"Germany";"2020/11/27";"2020";"48";0;0;0;0;"Germany";"AgeGender"
"187";"Schleswig-Holstein";"5";"14";"Germany";"2020/11/27";"2020";"48";0;0;0;0;"Germany";"AgeGender"
"188";"Schleswig-Holstein";NA;NA;"Germany";"2020/11/27";"2020";"48";0;0;0;0;"Germany";"AgeGender"
"189";"Schleswig-Holstein";"0";"4";"Germany";"2020/11/27";"2020";"48";0;0;0;0;"Germany";"AgeGender"
"190";"Schleswig-Holstein";"60";"79";"Germany";"2020/12/18";"2020";"51";5;2;0;7;"Germany";"AgeGender"
"191";"Schleswig-Holstein";"80";NA;"Germany";"2020/12/18";"2020";"51";6;3;0;9;"Germany";"AgeGender"
"192";"Schleswig-Holstein";"35";"59";"Germany";"2020/12/18";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"193";"Schleswig-Holstein";"15";"34";"Germany";"2020/12/18";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"194";"Schleswig-Holstein";"5";"14";"Germany";"2020/12/18";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"195";"Schleswig-Holstein";NA;NA;"Germany";"2020/12/18";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"196";"Schleswig-Holstein";"0";"4";"Germany";"2020/12/18";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"197";"Schleswig-Holstein";"60";"79";"Germany";"2021/01/01";"2021";"53";2;2;0;4;"Germany";"AgeGender"
"198";"Schleswig-Holstein";"80";NA;"Germany";"2021/01/01";"2021";"53";2;1;0;3;"Germany";"AgeGender"
"199";"Schleswig-Holstein";"35";"59";"Germany";"2021/01/01";"2021";"53";0;0;0;0;"Germany";"AgeGender"
