"";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"207";"60";"69";"Spain";"2020-01-21";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"208";"70";"79";"Spain";"2020-01-21";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"209";"80";NA;"Spain";"2020-01-21";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"210";NA;NA;"Spain";"2020-01-21";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"211";"0";"9";"Spain";"2020-01-22";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"212";"10";"19";"Spain";"2020-01-22";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"213";"20";"29";"Spain";"2020-01-22";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"214";"30";"39";"Spain";"2020-01-22";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"215";"40";"49";"Spain";"2020-01-22";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"216";"50";"59";"Spain";"2020-01-22";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"217";"60";"69";"Spain";"2020-01-22";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"218";"70";"79";"Spain";"2020-01-22";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"219";"80";NA;"Spain";"2020-01-22";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"220";NA;NA;"Spain";"2020-01-22";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"221";"0";"9";"Spain";"2020-01-23";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"222";"10";"19";"Spain";"2020-01-23";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"223";"20";"29";"Spain";"2020-01-23";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"224";"30";"39";"Spain";"2020-01-23";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"225";"40";"49";"Spain";"2020-01-23";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"226";"50";"59";"Spain";"2020-01-23";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"227";"60";"69";"Spain";"2020-01-23";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"228";"70";"79";"Spain";"2020-01-23";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"229";"80";NA;"Spain";"2020-01-23";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"230";NA;NA;"Spain";"2020-01-23";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"231";"0";"9";"Spain";"2020-01-24";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"232";"10";"19";"Spain";"2020-01-24";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"233";"20";"29";"Spain";"2020-01-24";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"234";"30";"39";"Spain";"2020-01-24";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"235";"40";"49";"Spain";"2020-01-24";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"236";"50";"59";"Spain";"2020-01-24";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"237";"60";"69";"Spain";"2020-01-24";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"238";"70";"79";"Spain";"2020-01-24";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"239";"80";NA;"Spain";"2020-01-24";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"240";NA;NA;"Spain";"2020-01-24";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"241";"0";"9";"Spain";"2020-01-25";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"242";"10";"19";"Spain";"2020-01-25";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"243";"20";"29";"Spain";"2020-01-25";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"244";"30";"39";"Spain";"2020-01-25";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"245";"40";"49";"Spain";"2020-01-25";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"246";"50";"59";"Spain";"2020-01-25";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"247";"60";"69";"Spain";"2020-01-25";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"248";"70";"79";"Spain";"2020-01-25";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"249";"80";NA;"Spain";"2020-01-25";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"250";NA;NA;"Spain";"2020-01-25";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"251";"0";"9";"Spain";"2020-01-26";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"252";"10";"19";"Spain";"2020-01-26";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"253";"20";"29";"Spain";"2020-01-26";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"254";"30";"39";"Spain";"2020-01-26";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"255";"40";"49";"Spain";"2020-01-26";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"256";"50";"59";"Spain";"2020-01-26";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"257";"60";"69";"Spain";"2020-01-26";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"258";"70";"79";"Spain";"2020-01-26";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"259";"80";NA;"Spain";"2020-01-26";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"260";NA;NA;"Spain";"2020-01-26";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"261";"0";"9";"Spain";"2020-01-27";"2020";"05";0;0;0;0;"Spain";"AgeGender"
"262";"10";"19";"Spain";"2020-01-27";"2020";"05";0;0;0;0;"Spain";"AgeGender"
"263";"20";"29";"Spain";"2020-01-27";"2020";"05";0;0;0;0;"Spain";"AgeGender"
"264";"30";"39";"Spain";"2020-01-27";"2020";"05";0;0;0;0;"Spain";"AgeGender"
"265";"40";"49";"Spain";"2020-01-27";"2020";"05";0;0;0;0;"Spain";"AgeGender"
"266";"50";"59";"Spain";"2020-01-27";"2020";"05";0;0;0;0;"Spain";"AgeGender"
"267";"60";"69";"Spain";"2020-01-27";"2020";"05";0;0;0;0;"Spain";"AgeGender"
"268";"70";"79";"Spain";"2020-01-27";"2020";"05";0;0;0;0;"Spain";"AgeGender"
"269";"80";NA;"Spain";"2020-01-27";"2020";"05";0;0;0;0;"Spain";"AgeGender"
"270";NA;NA;"Spain";"2020-01-27";"2020";"05";0;0;0;0;"Spain";"AgeGender"
